Term,Category,Definition,Example Usage,Source,Last Reviewed Date
Account Holder,Operational,Definition of Account Holder in banking context.,Example usage of Account Holder in a banking scenario.,Industry Standard,2025-07-05
Accrued Interest,Financial,Definition of Accrued Interest in banking context.,Example usage of Accrued Interest in a banking scenario.,Internal Policy,2024-12-12
Amortization,Financial,Definition of Amortization in banking context.,Example usage of Amortization in a banking scenario.,Regulatory Body,2025-04-07
KYC,Regulatory,Definition of KYC in banking context.,Example usage of KYC in a banking scenario.,Regulatory Body,2024-09-29
AML,Regulatory,Definition of AML in banking context.,Example usage of AML in a banking scenario.,Industry Standard,2025-03-31
Virtual Machine,Technical,Definition of Virtual Machine in banking context.,Example usage of Virtual Machine in a banking scenario.,Industry Standard,2025-04-19
CapEx,Financial,Definition of CapEx in banking context.,Example usage of CapEx in a banking scenario.,Industry Standard,2025-04-25
OpEx,Financial,Definition of OpEx in banking context.,Example usage of OpEx in a banking scenario.,Internal Policy,2025-01-10
IaaS,Technical,Definition of IaaS in banking context.,Example usage of IaaS in a banking scenario.,Industry Standard,2025-06-27
Product Specification,Product,Definition of Product Specification in banking context.,Example usage of Product Specification in a banking scenario.,Internal Policy,2025-02-20
Operational Status,Operational,Definition of Operational Status in banking context.,Example usage of Operational Status in a banking scenario.,Industry Standard,2025-04-08
Deployment Date,Technical,Definition of Deployment Date in banking context.,Example usage of Deployment Date in a banking scenario.,Internal Policy,2025-02-06
Interest Rate,Financial,Definition of Interest Rate in banking context.,Example usage of Interest Rate in a banking scenario.,Industry Standard,2025-05-23
Credit Score,Regulatory,Definition of Credit Score in banking context.,Example usage of Credit Score in a banking scenario.,Industry Standard,2025-05-28
Compliance Check,Regulatory,Definition of Compliance Check in banking context.,Example usage of Compliance Check in a banking scenario.,Regulatory Body,2025-04-04
Risk Assessment,Operational,Definition of Risk Assessment in banking context.,Example usage of Risk Assessment in a banking scenario.,Internal Policy,2024-12-27
Loan-to-Value,Financial,Definition of Loan-to-Value in banking context.,Example usage of Loan-to-Value in a banking scenario.,Internal Policy,2025-06-29
Overdraft,Product,Definition of Overdraft in banking context.,Example usage of Overdraft in a banking scenario.,Internal Policy,2025-01-23
Digital Identity,Technical,Definition of Digital Identity in banking context.,Example usage of Digital Identity in a banking scenario.,Industry Standard,2025-06-19
Encryption,Technical,Definition of Encryption in banking context.,Example usage of Encryption in a banking scenario.,Industry Standard,2025-04-08
